-22631.508168,1163,27.247438
-18841.285216,1003,50.889447
-26431.804713,946,74.381691
-23362.542809,999,97.988876
-23131.571181,1137,123.834907
-32462.204855,1281,152.771807
-35209.498217,1129,177.263367
-19652.031512,758,193.991235
-14300.680128,669,208.685822
-15637.319179,853,227.012937
-24883.016062,1026,251.942125
-13680.692238,627,268.082874
-28289.835619,901,291.357916
-13780.426652,843,312.384431
-14223.902408,757,332.665884
-11806.731745,590,347.838686
-13041.289818,631,363.684077
-14633.680733,845,385.993029
-14273.379406,940,411.400917
-13451.197062,764,431.343684
-8432.304475,609,447.659309
-10701.049725,562,462.633183
-17630.726976,897,486.125255
-12963.56982,733,506.104061
-12971.360476,630,523.645876
-18905.014983,830,546.262152
-19354.328429,885,569.815798
-18835.298128,796,591.573423
-17160.411781,735,611.182795
-19104.154937,814,633.541974
-18150.289035,942,658.70091
-13012.285545,761,679.876758
-14220.480959,860,703.150414
-15063.526294,719,724.01129
-9292.643571,629,740.93952
-27121.036908,1018,768.513339
-16829.449728,927,794.321565
-12711.323021,657,812.664749
-15521.519424,889,836.868764
-22859.005057,997,865.113497
-9974.887525,765,886.323676
-6105.747439,652,904.734079
-12561.390823,1128,938.206225
-12276.037551,985,968.728074
-11649.997441,838,993.653462
-10988.754119,880,1018.298706
-19503.419815,1265,1054.532251
-8801.84515,627,1073.310341
-11541.12438,897,1099.167634
-15421.647973,932,1125.42551
-11279.170993,561,1140.787119
-11399.078151,703,1160.764115
-16180.511508,1177,1194.069556
-8828.744323,681,1212.613363
-30274.15285,898,1238.618223
-8029.786499,642,1256.131327
-7905.895867,682,1275.875321
-13797.848488,848,1299.450066
-13429.186918,1811,1350.533117
-13013.387032,835,1374.857862
-10507.409392,1045,1406.080921
-23914.964912,1003,1434.720705
-12665.414737,799,1458.013705
-14533.804562,1288,1495.13423
-10630.27332,742,1515.593973
-18658.657344,957,1543.884632
-12240.588964,781,1566.561141
-13564.715009,1381,1607.029332
-7815.562464,966,1636.136834
-14154.76305,1148,1669.675341
-16697.094815,1142,1703.429856
-12794.227372,769,1725.589602
-12867.129378,1360,1764.493033
-19837.419036,1416,1805.729057
-7943.237493,987,1833.905731
-8490.987655,1100,1865.475501
-8638.639388,1404,1906.68259
-10629.610189,1328,1944.601596
-12873.937493,1687,1996.048117
-10296.750109,1407,2036.334337
-5733.347073,812,2059.126848
-25667.577509,1594,2105.444491
-13661.023544,1055,2136.249976
-8816.285219,1776,2187.433362
-18212.884351,1580,2233.683806
-15237.891875,1311,2271.288247
-14916.868022,1398,2312.107086
-18753.321834,1614,2359.291811
-12050.620894,861,2384.999184
-10077.557451,1170,2419.693589
-30116.880644,1129,2453.609367
-15925.625926,1081,2485.115782
-15587.528109,1027,2515.955555
-16554.658288,1435,2557.991158
-6533.890835,907,2584.998848
-14963.279927,963,2613.125703
-15548.637914,1137,2645.627674
-16649.987742,1198,2680.470787
-11948.889124,1501,2725.751019
-10819.190842,866,2751.1636
-10616.31408,767,2773.601552
-12310.126814,1143,2806.423887
-13069.261607,994,2836.097168
-8647.422017,1146,2870.802112
